date,county,at_least_one_dose,fully_vaccinated,new_doses_administered
2021-03-27,Solano,145962,81939,4277
2021-03-27,Sonoma,197725,124297,3971
2021-03-27,Stanislaus,138454,74825,4164
2021-03-27,Sutter,26371,15736,939
2021-03-27,Tehama,12785,7443,524
2021-03-27,Trinity,3100,1957,29
2021-03-27,Tulare,118434,58980,3657
2021-03-27,Tuolumne,17955,11365,598
2021-03-27,Ventura,276593,156259,8847
2021-03-27,Yolo,75136,44870,1700
2021-03-27,Yuba,14206,7979,466
2021-03-26,Alameda,553327,357524,21343
2021-03-26,Alpine,642,284,0
2021-03-26,Amador,12985,7549,755
2021-03-26,Butte,61411,38916,1216
2021-03-26,Calaveras,13035,8465,452
2021-03-26,Colusa,5733,3242,298
2021-03-26,Contra Costa,418770,260106,15569
2021-03-26,Del Norte,6055,3373,240
2021-03-26,El Dorado,60680,36565,1883
2021-03-26,Fresno,285083,142731,12386
2021-03-26,Glenn,7316,4609,250
2021-03-26,Humboldt,40717,26501,2077
2021-03-26,Imperial,55083,28718,3797
2021-03-26,Inyo,5868,4077,91
2021-03-26,Kern,194213,106937,9974
2021-03-26,Kings,31192,15063,1467
2021-03-26,Lake,18090,11534,70
2021-03-26,Lassen,4649,2429,70
2021-03-26,Los Angeles,3055721,1690952,118864
2021-03-26,Madera,39568,21375,1542
2021-03-26,Marin,120673,73447,4382
2021-03-26,Mariposa,4917,2456,500
2021-03-26,Mendocino,34663,24533,551
2021-03-26,Merced,63679,31189,2246
2021-03-26,Modoc,2387,1834,6
2021-03-26,Mono,6351,4062,22
2021-03-26,Monterey,127101,62064,5655
2021-03-26,Napa,58036,35525,1340
2021-03-26,Nevada,33656,19936,1264
2021-03-26,Orange,995654,547724,35802
2021-03-26,Placer,130420,82023,3831
2021-03-26,Plumas,6332,3379,312
2021-03-26,Riverside,615304,366109,24900
2021-03-26,Sacramento,442151,249163,18633
2021-03-26,San Benito,16586,8450,1045
2021-03-26,San Bernardino,466064,280878,18742
2021-03-26,San Diego,1046002,670508,32289
2021-03-26,San Francisco,353445,200138,12344
2021-03-26,San Joaquin,181520,100297,6647
2021-03-26,San Luis Obispo,89094,53017,3463
2021-03-26,San Mateo,283419,178286,11520
2021-03-26,Santa Barbara,128814,70467,5162
2021-03-26,Santa Clara,581155,362393,22648
2021-03-26,Santa Cruz,96129,60114,2999
2021-03-26,Shasta,43635,26862,1801
2021-03-26,Sierra,1180,824,10
2021-03-26,Siskiyou,12766,7652,319
2021-03-26,Solano,144260,79324,3321
2021-03-26,Sonoma,196344,121342,7676
2021-03-26,Stanislaus,137086,71975,4768
2021-03-26,Sutter,25551,15620,506
2021-03-26,Tehama,12311,7357,587
2021-03-26,Trinity,3073,1946,86
2021-03-26,Tulare,117343,56318,5376
2021-03-26,Tuolumne,17641,11083,290
2021-03-26,Ventura,274220,149770,10125
2021-03-26,Yolo,74389,43901,2421
2021-03-26,Yuba,13790,7927,410
2021-03-25,Alameda,543227,344737,20955
2021-03-25,Alpine,642,284,33
2021-03-25,Amador,12705,7079,619
2021-03-25,Butte,60595,38265,1516
2021-03-25,Calaveras,12933,8116,763
2021-03-25,Colusa,5485,3188,116
2021-03-25,Contra Costa,409530,253396,15886
2021-03-25,Del Norte,5861,3329,193
2021-03-25,El Dorado,59642,35624,2548
2021-03-25,Fresno,280065,134744,12366
2021-03-25,Glenn,7081,4558,522
2021-03-25,Humboldt,39060,26025,1848
2021-03-25,Imperial,52737,26268,3438
2021-03-25,Inyo,5794,4056,330
2021-03-25,Kern,188283,101644,6889
2021-03-25,Kings,30694,14005,1101
2021-03-25,Lake,18056,11496,684
2021-03-25,Lassen,4598,2375,142
2021-03-25,Los Angeles,2986627,1637176,113669
2021-03-25,Madera,38705,20566,1206
2021-03-25,Marin,118068,71465,4714
2021-03-25,Mariposa,4671,2201,78
2021-03-25,Mendocino,34527,24095,2029
2021-03-25,Merced,62763,29886,3635
2021-03-25,Modoc,2382,1830,78
2021-03-25,Mono,6335,4052,22
2021-03-25,Monterey,124161,59263,5503
2021-03-25,Napa,57437,34782,1987
2021-03-25,Nevada,32749,19536,957
2021-03-25,Orange,970037,536728,33370
2021-03-25,Placer,128674,79715,3943
2021-03-25,Plumas,6284,3114,330
2021-03-25,Riverside,599820,356586,21659
2021-03-25,Sacramento,432476,239740,14484
2021-03-25,San Benito,16242,7746,755
2021-03-25,San Bernardino,454208,273233,17408
2021-03-25,San Diego,1027876,655875,30712
2021-03-25,San Francisco,347471,193553,12315
2021-03-25,San Joaquin,178018,97100,5907
2021-03-25,San Luis Obispo,86714,51448,3787
2021-03-25,San Mateo,278990,171028,10386
2021-03-25,Santa Barbara,126356,67454,5742
2021-03-25,Santa Clara,567566,352961,23612
2021-03-25,Santa Cruz,94088,59135,2672
2021-03-25,Shasta,42179,26487,1117
2021-03-25,Sierra,1173,821,97
2021-03-25,Siskiyou,12660,7439,565
2021-03-25,Solano,142465,77762,4988
2021-03-25,Sonoma,192420,117489,7375
2021-03-25,Stanislaus,134692,69587,4255
