date,county,confirmed_cases,reported_deaths
2021-09-20,San Bernardino,338619,5507
2021-09-20,San Diego,352903,4009
2021-09-20,San Francisco,49833,605
2021-09-20,San Joaquin,93260,1615
2021-09-20,San Luis Obispo,27482,313
2021-09-20,San Mateo,51296,567
2021-09-20,Santa Barbara,41779,500
2021-09-20,Santa Clara,140110,1841
2021-09-20,Santa Cruz,19226,211
2021-09-20,Shasta,18312,258
2021-09-20,Sierra,127,0
2021-09-20,Siskiyou,2970,35
2021-09-20,Solano,43356,312
2021-09-20,Sonoma,39156,369
2021-09-20,Stanislaus,72748,1091
2021-09-20,Sutter,12974,153
2021-09-20,Tehama,7240,84
2021-09-20,Trinity,585,7
2021-09-20,Tulare,61049,896
2021-09-20,Tuolumne,6196,89
2021-09-20,Ventura,94068,1120
2021-09-20,Yolo,18385,239
2021-09-20,Yuba,9181,61
2021-09-19,Alameda,113971,1320
2021-09-19,Alpine,100,0
2021-09-19,Amador,4942,59
2021-09-19,Butte,18341,230
2021-09-19,Calaveras,3444,66
2021-09-19,Colusa,2382,16
2021-09-19,Contra Costa,94249,924
2021-09-19,Del Norte,3403,34
2021-09-19,El Dorado,14626,127
2021-09-19,Fresno,126044,1888
2021-09-19,Glenn,3153,25
2021-09-19,Humboldt,8006,80
2021-09-19,Imperial,31216,755
2021-09-19,Inyo,1662,39
2021-09-19,Kern,115958,1459
2021-09-19,Kings,28653,284
2021-09-19,Lake,6058,87
2021-09-19,Lassen,6243,25
2021-09-19,Los Angeles,1384754,25852
2021-09-19,Madera,20418,257
2021-09-19,Marin,16786,242
2021-09-19,Mariposa,910,5
2021-09-19,Mendocino,6646,67
2021-09-19,Merced,38279,535
2021-09-19,Modoc,457,5
2021-09-19,Mono,1497,3
2021-09-19,Monterey,46647,565
2021-09-19,Napa,12270,95
2021-09-19,Nevada,8289,84
2021-09-19,Orange,294844,5354
2021-09-19,Placer,33689,364
2021-09-19,Plumas,1215,5
2021-09-19,Riverside,343180,4804
2021-09-19,Sacramento,147305,2012
2021-09-19,San Benito,6959,67
2021-09-19,San Bernardino,338245,5506
2021-09-19,San Diego,352349,4006
2021-09-19,San Francisco,49750,605
2021-09-19,San Joaquin,92997,1615
2021-09-19,San Luis Obispo,27386,313
2021-09-19,San Mateo,51233,567
2021-09-19,Santa Barbara,41693,500
2021-09-19,Santa Clara,139952,1841
2021-09-19,Santa Cruz,19192,211
2021-09-19,Shasta,18221,258
2021-09-19,Sierra,126,0
2021-09-19,Siskiyou,2951,35
2021-09-19,Solano,43294,312
2021-09-19,Sonoma,39108,369
2021-09-19,Stanislaus,72532,1091
2021-09-19,Sutter,12955,153
2021-09-19,Tehama,7184,84
2021-09-19,Trinity,579,7
2021-09-19,Tulare,60861,896
2021-09-19,Tuolumne,6169,89
2021-09-19,Ventura,93920,1120
2021-09-19,Yolo,18346,239
2021-09-19,Yuba,9159,61
2021-09-18,Alameda,113905,1320
2021-09-18,Alpine,100,0
2021-09-18,Amador,4937,59
2021-09-18,Butte,18325,230
2021-09-18,Calaveras,3441,66
2021-09-18,Colusa,2382,16
2021-09-18,Contra Costa,94182,924
2021-09-18,Del Norte,3395,34
2021-09-18,El Dorado,14608,127
2021-09-18,Fresno,125937,1889
2021-09-18,Glenn,3148,25
2021-09-18,Humboldt,7997,80
2021-09-18,Imperial,31204,755
2021-09-18,Inyo,1659,39
2021-09-18,Kern,115830,1459
2021-09-18,Kings,28616,285
2021-09-18,Lake,6051,87
2021-09-18,Lassen,6235,25
2021-09-18,Los Angeles,1384254,25849
2021-09-18,Madera,20389,257
2021-09-18,Marin,16770,242
2021-09-18,Mariposa,907,5
2021-09-18,Mendocino,6630,67
2021-09-18,Merced,38255,535
2021-09-18,Modoc,457,5
2021-09-18,Mono,1496,3
2021-09-18,Monterey,46616,565
2021-09-18,Napa,12256,95
2021-09-18,Nevada,8280,84
2021-09-18,Orange,294693,5354
2021-09-18,Placer,33623,364
2021-09-18,Plumas,1215,5
2021-09-18,Riverside,342868,4802
2021-09-18,Sacramento,147131,2016
2021-09-18,San Benito,6954,67
2021-09-18,San Bernardino,338031,5501
2021-09-18,San Diego,352027,4006
2021-09-18,San Francisco,49692,605
2021-09-18,San Joaquin,92896,1615
2021-09-18,San Luis Obispo,27354,313
2021-09-18,San Mateo,51191,567
2021-09-18,Santa Barbara,41649,500
2021-09-18,Santa Clara,139853,1841
2021-09-18,Santa Cruz,19179,211
2021-09-18,Shasta,18174,258
2021-09-18,Sierra,126,0
2021-09-18,Siskiyou,2949,35
2021-09-18,Solano,43261,312
2021-09-18,Sonoma,39081,369
2021-09-18,Stanislaus,72403,1091
2021-09-18,Sutter,12946,153
2021-09-18,Tehama,7172,84
2021-09-18,Trinity,577,7
2021-09-18,Tulare,60812,896
2021-09-18,Tuolumne,6159,89
2021-09-18,Ventura,93861,1120
2021-09-18,Yolo,18329,239
2021-09-18,Yuba,9149,61
2021-09-17,Alameda,113813,1320
2021-09-17,Alpine,100,0
2021-09-17,Amador,4922,58
2021-09-17,Butte,18284,230
2021-09-17,Calaveras,3428,66
2021-09-17,Colusa,2380,16
2021-09-17,Contra Costa,94097,924
2021-09-17,Del Norte,3390,34
2021-09-17,El Dorado,14597,127
2021-09-17,Fresno,125728,1882
2021-09-17,Glenn,3133,25
2021-09-17,Humboldt,7979,80
2021-09-17,Imperial,31184,755
2021-09-17,Inyo,1655,39
2021-09-17,Kern,115671,1456
